experiment,model,size,k_folds,model_type,alpha,linear_r2_mean,linear_r2_std,linear_adj_r2_mean,linear_adj_r2_std,pca_r2_mean,pca_r2_std,pca_adj_r2_mean,pca_adj_r2_std,pca_explained_var_mean,pca_explained_var_std,linear_proportion_significant_mean,linear_proportion_significant_std,pca_proportion_significant_mean,pca_proportion_significant_std,linear_f_pvalue_mean,linear_f_pvalue_std,pca_f_pvalue_mean,pca_f_pvalue_std,linear_aic_mean,linear_bic_mean,pca_aic_mean,pca_bic_mean
positive_decimals_statsmodels,text-embedding-ada-002,8,5,Statsmodels_OLS,0.05,0.971245644946341,0.003847017295995471,0.971245644946341,0.003847017295995471,0.7002582584121562,0.04473479581329059,0.6971996692122803,0.0451912733215895,0.04506857906956655,0.0009527387398045448,0.0,0.0,1.0,0.0,,,4.1963620030425e-102,8.39159116491972e-102,-24642.177122224002,-23045.59130338081,-360.75975782349326,-352.7768287292772
positive_decimals_statsmodels,text-embedding-ada-002,9,5,Statsmodels_OLS,0.05,0.9712154452677634,0.005985978392702591,0.9712154452677634,0.005985978392702591,0.6122837687168037,0.028549096320283077,0.6083274806424853,0.02884041362967374,0.04512736322172518,0.0007487629196394525,0.0,0.0,1.0,0.0,,,5.299674905768448e-87,1.0230529784731493e-86,-24629.379635455036,-23032.793816611847,-281.5726838195541,-273.58975472533814
positive_decimals_statsmodels,text-embedding-ada-002,10,5,Statsmodels_OLS,0.05,0.9707116378178162,0.0018157989553424171,0.9707116378178162,0.0018157989553424171,0.7158681251078789,0.03988458747769418,0.7129688202620409,0.04029157306420126,0.04513829683244671,0.0009513772223991476,0.0,0.0,1.0,0.0,,,6.218942429142055e-98,1.242889185827763e-97,-24691.81605064622,-23095.230231803027,-367.7650389199983,-359.78210982578224
positive_decimals_statsmodels,text-embedding-ada-002,11,5,Statsmodels_OLS,0.05,0.9686288989484076,0.005521749485819563,0.9686288989484076,0.005521749485819563,0.6829846109483707,0.03291225733827689,0.6797497600396805,0.03324809669887156,0.040156885381016125,0.0006870365851246007,0.0,0.0,1.0,0.0,,,3.1512424212318023e-84,6.302484842460678e-84,-24732.697103367835,-23136.111284524646,-324.48556316234396,-316.502634068128
positive_decimals_statsmodels,text-embedding-ada-002,12,5,Statsmodels_OLS,0.05,0.9507038860499364,0.004972136424830327,0.9507038860499364,0.004972136424830327,0.4932375784656071,0.030274088068170227,0.48806653334790917,0.03058300733417199,0.038864977475440744,0.0010422846291375661,0.0,0.0,1.0,0.0,,,1.8399527472387555e-56,3.638160194624352e-56,-24647.44588863133,-23050.860069788134,-138.54025451625236,-130.5573254220364
positive_decimals_statsmodels,text-embedding-ada-002,13,5,Statsmodels_OLS,0.05,0.9533784536470238,0.007667995983889591,0.9533784536470238,0.007667995983889591,0.7227501765141677,0.03217890320107638,0.7199210966826797,0.03250725935618942,0.043128755422037326,0.001075800932650338,0.0,0.0,1.0,0.0,,,9.013046529402648e-95,1.8026093053180523e-94,-24689.44784099098,-23092.862022147787,-387.53905125816493,-379.55612216394894
positive_decimals_statsmodels,text-embedding-ada-002,14,5,Statsmodels_OLS,0.05,0.9628691860920273,0.005511236388643416,0.9628691860920273,0.005511236388643416,0.7053063306484085,0.019491468534842876,0.7022992523897189,0.019690361070912685,0.04255033841014822,0.0004902549727728633,0.0,0.0,1.0,0.0,,,6.012387213428224e-97,1.2017821138829623e-96,-24712.164472174325,-23115.57865333113,-353.870646259204,-345.887717164988
positive_decimals_statsmodels,text-embedding-ada-002,15,5,Statsmodels_OLS,0.05,0.960590029526433,0.0044350623974333085,0.960590029526433,0.0044350623974333085,0.8041066169301125,0.01644880148457421,0.8021077048579709,0.016616646397682126,0.041709975757026826,0.0005112307792703845,0.0,0.0,1.0,0.0,,,4.2712875120071954e-137,8.542476062855871e-137,-24702.521863805985,-23105.936044962793,-523.9627865537124,-515.9798574594964
positive_decimals_statsmodels,text-embedding-ada-002,16,5,Statsmodels_OLS,0.05,0.9510660897972414,0.00844242860341365,0.9510660897972414,0.00844242860341365,0.7851186344387932,0.03099216017022799,0.7829259674432707,0.03130840670257724,0.044305419042454476,0.0007750368445235607,0.0,0.0,1.0,0.0,,,2.4268344270736297e-129,4.518656394950412e-129,-24728.9325382201,-23132.346719376907,-466.1194331487971,-458.136504054581
positive_decimals_statsmodels,text-embedding-ada-002,17,5,Statsmodels_OLS,0.05,0.9686351615731864,0.002322297538887603,0.9686351615731864,0.002322297538887603,0.8517070057033609,0.016485164653735982,0.8501938118840074,0.016653380619590458,0.04349409169464691,0.0006045078654973963,0.0,0.0,1.0,0.0,,,2.3911029084117814e-166,0.0,-24711.705073348116,-23115.119254504923,-637.4078943561034,-629.4249652618875
positive_decimals_statsmodels,text-embedding-ada-002,18,5,Statsmodels_OLS,0.05,0.9691021682618413,0.0027073294253731226,0.9691021682618413,0.0027073294253731226,0.7858990734232713,0.027269123139071993,0.7837143700908556,0.027547379497633955,0.042436258052407264,0.0006744433318852094,0.0,0.0,1.0,0.0,,,1.8709621201722937e-129,3.736907186725799e-129,-24766.876380796482,-23170.29056195329,-496.3584831828774,-488.3755540886615
positive_decimals_statsmodels,text-embedding-ada-002,19,5,Statsmodels_OLS,0.05,0.9552118684767651,0.004968166355878127,0.9552118684767651,0.004968166355878127,0.8421541919538141,0.016728263851054713,0.8405435204431388,0.016898960420963435,0.04428111048794663,0.0006095281107317364,0.0,0.0,1.0,0.0,,,1.2536484388428334e-162,2.2227587494850775e-162,-24667.846230842923,-23071.260411999734,-582.9256386296428,-574.9427095354268
positive_decimals_statsmodels,gemini-embedding-001,1,5,Statsmodels_OLS,0.05,0.9999786785862778,2.027060957950001e-05,0.9999786785862778,2.027060957950001e-05,0.7785817994945983,0.032493984953050836,0.776322430101686,0.032825556228082,0.1989230110354518,0.002481098204698001,0.0003255208333333333,0.0,1.0,0.0,0.0,0.0,1.1643206322931687e-120,2.328641252295284e-120,-4351.858250577723,-4311.943605106644,-465.82066669608975,-457.8377376018737
positive_decimals_statsmodels,gemini-embedding-001,2,5,Statsmodels_OLS,0.05,0.9998953727983595,9.595998678762284e-05,0.9998953727983595,9.595998678762284e-05,0.8211542580261805,0.020100126404698094,0.8193293014754272,0.020305229735358293,0.09987680157869593,0.0018038330394249224,1.0,0.0,1.0,0.0,0.0,0.0,3.511842536796375e-140,7.023685073572497e-140,-24471.289869306987,-24076.134879143297,-531.2844982238728,-523.3015691296566
