experiment,model,expected_similarity,scale_factor,decimal_size,magnitude_range,mean_similarity,std_similarity,accuracy_within_tolerance,mean_absolute_error,root_mean_square_error,correlation_with_expected
negative_relationships,voyage-finance-2,-1.0,,3,"(1e-05, 0.49999)",0.8589704994993577,0.004333735498361138,0.0,1.8589704994993579,1.8589755510151986,
negative_relationships,voyage-finance-2,-1.0,,4,"(1e-05, 0.99999)",0.8658742869019289,0.0072023997672925125,0.0,1.865874286901929,1.8658881877229916,
negative_relationships,voyage-finance-2,-1.0,,4,"(1e-05, 0.49999)",0.8679243737497653,0.004940338853916227,0.0,1.8679243737497655,1.867930906911828,
negative_relationships,voyage-finance-2,-1.0,,5,"(1e-05, 0.99999)",0.8714145966164801,0.007669122753688404,0.0,1.8714145966164801,1.8714303107177235,
negative_relationships,voyage-finance-2,-1.0,,5,"(1e-05, 0.49999)",0.8733756694341266,0.00432581745458523,0.0,1.8733756694341268,1.873380663806588,
negative_relationships,voyage-finance-2,-1.0,,6,"(1e-05, 0.99999)",0.8732968891779374,0.007586958527862703,0.0,1.8732968891779374,1.8733122529208635,
negative_relationships,voyage-finance-2,-1.0,,6,"(1e-05, 0.49999)",0.8750482498646437,0.005109556311948155,0.0,1.875048249864644,1.8750552116900898,
negative_relationships,voyage-finance-2,-1.0,,7,"(1e-05, 0.99999)",0.8780439160228042,0.00641645438852004,0.0,1.8780439160228044,1.8780548770994925,
negative_relationships,voyage-finance-2,-1.0,,7,"(1e-05, 0.49999)",0.8797053521853428,0.005776102809745134,0.0,1.8797053521853428,1.8797142267903098,
negative_relationships,voyage-finance-2,-1.0,,8,"(1e-05, 0.99999)",0.8776982963786392,0.006552059567281957,0.0,1.877698296378639,1.8777097277555488,
negative_relationships,voyage-finance-2,-1.0,,8,"(1e-05, 0.49999)",0.8789658191754017,0.006220310471825713,0.0,1.8789658191754017,1.8789761153063798,
negative_relationships,voyage-finance-2,-1.0,,9,"(1e-05, 0.99999)",0.8790848679860794,0.006162869683097011,0.0,1.8790848679860797,1.8790949741982155,
negative_relationships,voyage-finance-2,-1.0,,9,"(1e-05, 0.49999)",0.8803076478158139,0.006196431054781541,0.0,1.8803076478158138,1.8803178577550275,
negative_relationships,voyage-finance-2,-1.0,,10,"(1e-05, 0.99999)",0.8770581567049567,0.005882684168073477,0.0,1.8770581567049567,1.8770673748231925,
negative_relationships,voyage-finance-2,-1.0,,10,"(1e-05, 0.49999)",0.8777052770086731,0.005940660389974846,0.0,1.877705277008673,1.87771467447855,
negative_relationships,voyage-finance-2,-1.0,,11,"(1e-05, 0.99999)",0.8766016450443515,0.005705968480701887,0.0,1.8766016450443515,1.8766103197679238,
negative_relationships,voyage-finance-2,-1.0,,11,"(1e-05, 0.49999)",0.8773579439620732,0.006110813465156979,0.0,1.8773579439620731,1.8773678893063843,
negative_relationships,voyage-finance-2,-1.0,,12,"(1e-05, 0.99999)",0.8753947877214203,0.005733978529109323,0.0,1.8753947877214205,1.87540355345788,
negative_relationships,voyage-finance-2,-1.0,,12,"(1e-05, 0.49999)",0.8761347421109713,0.00573797443781328,0.0,1.8761347421109713,1.8761435166069917,
negative_relationships,voyage-finance-2,-1.0,,13,"(1e-05, 0.99999)",0.8755796403181177,0.006322729264852371,0.0,1.8755796403181175,1.8755902975013483,
negative_relationships,voyage-finance-2,-1.0,,13,"(1e-05, 0.49999)",0.875253239310606,0.005628862284222334,0.0,1.8752532393106063,1.8752616872414196,
negative_relationships,voyage-finance-2,-1.0,,14,"(1e-05, 0.99999)",0.8749807794161447,0.0053626451501991084,0.0,1.8749807794161448,1.87498844826921,
negative_relationships,voyage-finance-2,-1.0,,14,"(1e-05, 0.49999)",0.875298517769532,0.006103672650848041,0.0,1.8752985177695323,1.875308450780413,
negative_relationships,voyage-code-3,-1.0,,1,"(1e-05, 0.99999)",0.9011100592833502,0.012400920379925937,0.0,1.9011100592833505,1.9011505043879648,
